name,gifFront,gifBack,cry,experienceGroup,hp,elements,attack,defense,magicalAttack,magicalDefense,speed,description
Bulbasaur,1.gif,1b.gif,1.ogg,MEDIUM_SLOW,45,"GRASS,POISON",49,49,65,65,45,"A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon."
Ivysaur,2.gif,2b.gif,2.ogg,MEDIUM_SLOW,60,"GRASS,POISON",62,63,80,80,60,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
Venusaur,3.gif,3b.gif,3.ogg,MEDIUM_SLOW,80,"GRASS,POISON",82,83,100,100,80,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
Charmander,4.gif,4b.gif,4.ogg,MEDIUM_SLOW,39,FIRE,52,43,60,50,65,"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly."
Charmeleon,5.gif,5b.gif,5.ogg,MEDIUM_SLOW,58,FIRE,64,58,80,65,80,"It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws."
Charizard,6.gif,6b.gif,6.ogg,MEDIUM_SLOW,78,"FIRE,FLYING",84,78,109,85,100,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
Squirtle,7.gif,7b.gif,7.ogg,MEDIUM_SLOW,44,WATER,48,65,50,64,43,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
Wartortle,8.gif,8b.gif,8.ogg,MEDIUM_SLOW,59,WATER,63,80,65,80,58,"When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit."
Blastoise,9.gif,9b.gif,9.ogg,MEDIUM_SLOW,79,WATER,83,100,85,105,78,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
Caterpie,10.gif,10b.gif,10.ogg,MEDIUM,45,BUG,30,35,20,20,45,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies."
Metapod,11.gif,11b.gif,11.ogg,MEDIUM,50,BUG,20,55,25,25,30,"A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution."
Butterfree,12.gif,12b.gif,12.ogg,MEDIUM,60,"BUG,FLYING",45,50,90,80,70,"It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen."
Weedle,13.gif,13b.gif,13.ogg,MEDIUM,40,"BUG,POISON",35,30,20,20,50,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
Kakuna,14.gif,14b.gif,14.ogg,MEDIUM,45,"BUG,POISON",25,50,25,25,35,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger."
Beedrill,15.gif,15b.gif,15.ogg,MEDIUM,65,"BUG,POISON",90,40,45,80,75,"It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly."
Pidgey,16.gif,16b.gif,16.ogg,MEDIUM_SLOW,40,"NORMAL,FLYING",45,40,35,35,56,"A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand."
Pidgeotto,17.gif,17b.gif,17.ogg,MEDIUM_SLOW,63,"NORMAL,FLYING",60,55,50,50,71,"The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away."
Pidgeot,18.gif,18b.gif,18.ogg,MEDIUM_SLOW,83,"NORMAL,FLYING",80,75,70,70,101,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
Rattata,19.gif,19b.gif,19.ogg,MEDIUM,30,NORMAL,56,35,25,35,72,"Living wherever there is food available, it ceaselessly scavenges for edibles the entire day."
Raticate,20.gif,20b.gif,20.ogg,MEDIUM,55,NORMAL,81,60,50,70,97,"It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls."
Spearow,21.gif,21b.gif,21.ogg,MEDIUM,40,"NORMAL,FLYING",60,30,31,31,70,"Very protective of its territory, it flaps its short wings busily to dart around at high speed."
Fearow,22.gif,22b.gif,22.ogg,MEDIUM,65,"NORMAL,FLYING",90,65,61,61,100,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
Ekans,23.gif,23b.gif,23.ogg,MEDIUM,35,POISON,60,44,40,54,55,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
Arbok,24.gif,24b.gif,24.ogg,MEDIUM,60,POISON,85,69,65,79,80,"The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern."
Pikachu,25.gif,25b.gif,25.ogg,MEDIUM,35,ELECTRIC,55,40,50,50,90,"It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose."
Raichu,26.gif,26b.gif,26.ogg,MEDIUM,60,ELECTRIC,90,55,90,80,110,"When its electricity builds, its muscles are stimulated, and it becomes more aggressive than usual."
Sandshrew,27.gif,27b.gif,27.ogg,MEDIUM,50,GROUND,75,85,20,30,40,"It burrows and lives underground. If threatened, it curls itself up into a ball for protection."
Sandslash,28.gif,28b.gif,28.ogg,MEDIUM,75,GROUND,100,110,45,55,65,"If it digs at an incredible pace, it may snap off its spikes and claws. They grow back in a day."
"Nidoran (female)",29.gif,29b.gif,29.ogg,MEDIUM_SLOW,55,POISON,47,52,40,40,41,"Although small, its venomous barbs render this Pokémon dangerous. The female has smaller horns."
