characterId,skillId,level
Abomasnow,Icy wind,9
Abomasnow,Leer,1
Abomasnow,Powder snow,1
Abomasnow,Razor leaf,5
Abomasnow,Grass whistle,13
Abomasnow,Swagger,17
Abomasnow,Mist,21
Abomasnow,Ice shard,26
Abomasnow,Ingrain,31
Abomasnow,Wood hammer,36
Abomasnow,Blizzard,47
Abomasnow,Sheer cold,58
Abra,Ally switch,0
Abra,Barrier,0
Abra,Encore,0
Abra,Fire punch,0
Abra,Guard split,0
Abra,Guard swap,0
Abra,Ice punch,0
Abra,Knock off,0
Abra,Power trick,0
Abra,Psycho shift,0
Abra,Skill swap,0
Abra,Thunder punch,0
Abra,Teleport,1
Absol,Assurance,0
Absol,Baton pass,0
Absol,Curse,0
Absol,Double edge,0
Absol,Feint attack,0
Absol,Hex,0
Absol,Magic coat,0
Absol,Me first,60
Absol,Mean look,0
Absol,Megahorn,0
Absol,Perish song,65
Absol,Play rough,0
Absol,Punishment,0
Absol,Sucker punch,50
Absol,Zen headbutt,0
Absol,Detect,44
Absol,Feint,1
Absol,Razor wind,57
Absol,Scratch,1
Absol,Taunt,17
Absol,Leer,4
Absol,Quick attack,9
Absol,Pursuit,12
Absol,Bite,20
Absol,Double team,25
Absol,Slash,28
Absol,Swords dance,33
Absol,Future sight,36
Absol,Night slash,41
Absol,Psycho cut,47
Accelgor,Acid spray,4
Accelgor,Double team,8
Accelgor,Final gambit,56
Accelgor,Leech life,1
Accelgor,Power swap,52
Accelgor,Quick attack,13
Accelgor,Struggle bug,16
Accelgor,Mega drain,20
Accelgor,Swift,25
Accelgor,Me first,28
Accelgor,Agility,32
Accelgor,Giga drain,37
Accelgor,U turn,40
Accelgor,Bug buzz,44
Accelgor,Recover,49
Aegislash,Aerial ace,1
Aegislash,Autotomize,1
Aegislash,Fury cutter,1
Aegislash,Head smash,1
Aegislash,Iron defense,1
Aegislash,Iron head,1
Aegislash,Kings shield,1
Aegislash,Night slash,1
Aegislash,Power trick,1
Aegislash,Pursuit,1
Aegislash,Sacred sword,1
Aegislash,Shadow sneak,1
Aegislash,Slash,1
Aegislash,Swords dance,1
Aerodactyl,Assurance,0
Aerodactyl,Curse,0
Aerodactyl,Dragon breath,0
Aerodactyl,Foresight,0
Aerodactyl,Pursuit,0
Aerodactyl,Roost,0
Aerodactyl,Steel wing,0
Aerodactyl,Tailwind,0
Aerodactyl,Whirlwind,0
Aerodactyl,Wide guard,0
Aerodactyl,Bite,1
Aerodactyl,Fire fang,1
Aerodactyl,Ice fang,1
Aerodactyl,Iron head,57
Aerodactyl,Scary face,1
Aerodactyl,Supersonic,1
Aerodactyl,Thunder fang,1
Aerodactyl,Wing attack,1
Aerodactyl,Roar,9
Aerodactyl,Agility,17
Aerodactyl,Ancient power,25
Aerodactyl,Crunch,33
Aerodactyl,Take down,41
